3/17/20 17:01:25,ETH/BTC,bid,0.02187308,7.44564869
3/17/20 17:01:25,ETH/BTC,bid,0.02187307,3.467434
3/17/20 17:01:25,ETH/BTC,bid,0.02187305,6.85567013
3/17/20 17:01:25,ETH/BTC,bid,0.021873,1
3/17/20 17:01:25,ETH/BTC,bid,0.02187163,0.03322569
3/17/20 17:01:25,ETH/BTC,bid,0.02187008,0.21
3/17/20 17:01:25,ETH/BTC,bid,0.02186299,0.1
3/17/20 17:01:25,ETH/BTC,bid,0.02186251,0.0091
3/17/20 17:01:25,ETH/BTC,bid,0.02186053,0.58
3/17/20 17:01:25,ETH/BTC,bid,0.02186052,0.05
3/17/20 17:01:25,ETH/BTC,bid,0.02185561,9.14455526
3/17/20 17:01:25,ETH/BTC,bid,0.02184944,130
3/17/20 17:01:25,ETH/BTC,bid,0.02184363,4.52654436
3/17/20 17:01:25,ETH/BTC,bid,0.02183269,4.89101735
3/17/20 17:01:25,ETH/BTC,bid,0.02183264,0.00630238
3/17/20 17:01:25,ETH/BTC,bid,0.0218247,0.01248192
3/17/20 17:01:25,ETH/BTC,bid,0.0218238,41.5
3/17/20 17:01:25,ETH/BTC,bid,0.02181735,0.2
3/17/20 17:01:25,ETH/BTC,bid,0.02180845,50
3/17/20 17:01:25,ETH/BTC,bid,0.0218,32.74659999
3/17/20 17:01:25,ETH/BTC,bid,0.02179639,0.40030023
3/17/20 17:01:25,ETH/BTC,bid,0.0217942,0.81461421
3/17/20 17:01:25,ETH/BTC,bid,0.02179148,49
3/17/20 17:01:25,ETH/BTC,bid,0.02178009,0.73972375
3/17/20 17:01:25,ETH/BTC,bid,0.02177774,48
3/17/20 17:01:25,ETH/BTC,bid,0.0217631,0.01368442
3/17/20 17:01:25,ETH/BTC,bid,0.021763,0.57907871
3/17/20 17:01:25,ETH/BTC,bid,0.02176045,49
3/17/20 17:01:25,ETH/BTC,bid,0.02175882,40.67636181
3/17/20 17:01:25,ETH/BTC,bid,0.02175498,0.1331879
3/17/20 17:01:25,ETH/BTC,bid,0.0217499,0.04644343
3/17/20 17:01:25,ETH/BTC,bid,0.02174665,51
3/17/20 17:01:25,ETH/BTC,bid,0.02174558,50.96
3/17/20 17:01:25,ETH/BTC,bid,0.02173852,14.73
3/17/20 17:01:25,ETH/BTC,bid,0.02173707,0.09825887
3/17/20 17:01:25,ETH/BTC,bid,0.02173628,0.03355265
3/17/20 17:01:25,ETH/BTC,bid,0.02173528,0.55209779
3/17/20 17:01:25,ETH/BTC,bid,0.02172401,0.00633334
3/17/20 17:01:25,ETH/BTC,bid,0.02171691,0.02869842
